dims:5
classes:10
0.8740,1.0588,-0.3779,0.2886,0.2507,0,1,0,0,0,0,0,0,0,0
0.4444,0.7443,-0.2647,0.3706,0.2026,0,1,0,0,0,0,0,0,0,0
0.5103,0.9208,0.1089,0.2598,-0.1665,0,1,0,0,0,0,0,0,0,0
0.4748,-0.7605,0.2928,-0.6635,0.5041,0,0,0,0,0,0,0,0,0,1
0.9157,-0.0795,0.0567,-0.6251,0.3471,0,0,0,1,0,0,0,0,0,0
0.3340,-0.8156,-0.3342,0.0594,-0.0853,0,0,0,0,0,0,0,1,0,0
-0.2804,0.2534,0.5098,-0.0469,-0.2447,0,0,0,0,0,0,0,1,0,0
-0.1341,0.0127,-0.9385,-0.6217,-0.1363,0,0,0,0,0,0,0,1,0,0
0.6135,0.3783,-0.8283,0.9253,-0.4797,0,0,0,0,0,1,0,0,0,0
-0.0973,-0.6938,0.2549,-0.6198,0.4738,0,0,0,0,0,0,0,0,0,1
-0.0125,-1.0687,0.2197,-0.1895,0.4908,0,0,0,0,0,0,0,0,0,1
0.8558,0.8869,-0.1010,0.4195,-0.1599,0,1,0,0,0,0,0,0,0,0
0.6024,-0.4696,0.8755,-0.3797,-0.3022,0,0,0,0,0,0,1,0,0,0
0.6669,0.4364,-0.1035,-0.8006,0.2645,1,0,0,0,0,0,0,0,0,0
0.4553,0.4738,-0.0711,-0.7237,0.9124,1,0,0,0,0,0,0,0,0,0
-0.4153,-0.3784,-0.2173,-0.4770,0.8655,0,0,0,0,0,0,0,0,0,1
-0.0546,-0.5361,0.3632,0.0317,1.0717,0,0,0,0,0,0,0,0,0,1
0.2459,0.5562,1.1262,0.3153,-0.7094,0,0,0,0,1,0,0,0,0,0
0.7481,-0.1270,-0.2380,-0.5391,0.4571,0,0,0,1,0,0,0,0,0,0
-0.0791,-0.1752,-1.0041,1.0004,-1.1355,0,0,0,0,0,1,0,0,0,0
0.9171,-0.0842,0.0085,-0.2435,0.3080,0,0,0,1,0,0,0,0,0,0
0.0591,0.3480,-0.0548,-0.2519,-0.2483,0,0,0,0,0,0,0,1,0,0
-0.1557,-0.2832,1.6294,-0.7259,0.8228,0,0,1,0,0,0,0,0,0,0
-0.8319,-0.5056,0.3665,0.3319,0.4024,0,0,0,0,0,0,0,0,0,1
0.3958,-0.3512,-0.2419,0.2361,-0.3698,0,0,0,0,0,0,0,1,0,0
-0.1776,0.0285,0.8362,-0.8614,0.8629,0,0,1,0,0,0,0,0,0,0
0.0516,-1.0069,0.3183,-0.6831,0.7715,0,0,0,0,0,0,0,0,0,1
-0.0312,0.1954,1.2628,0.4163,-1.4688,0,0,0,0,1,0,0,0,0,0
0.6292,0.0264,-0.8003,0.9643,-0.8157,0,0,0,0,0,1,0,0,0,0
0.8975,0.2361,-0.1158,-0.0844,0.1689,0,0,0,1,0,0,0,0,0,0
